pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
TOI-561 c,TOI-561,1,1,4,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LACEDELLI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.4551L/abstract target=ref>Lacedelli et al. 2022</a>,10.778831,0.000034,-0.000036,0,0.0884,0.0009,-0.0009,0,2.91,0.04,-0.04,0,0.26,0.004,-0.004,0,5.39,0.69,-0.68,0,0.01696,0.00217,-0.00214,0,Mass,0.03,0.035,-0.021,0,68.2,3.9,-3.9,0,800,11,-11,0,0,<a refstr=LACEDELLI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.4551L/abstract target=ref>Lacedelli et al. 2022</a>,G9 V,5372,70,-70,0,0.84,0.01,-0.01,0,0.81,0.04,-0.04,0,-0.4,0.05,-0.05,0,[Fe/H],4.5,0.12,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h52m44.44s,148.1851516,+06d12m57.97s,6.216103,85.799,0.4988,-0.4932,10.252,0.006,-0.006,8.394,0.019,-0.019,10.0128,0.000278,-0.000278,15-03-2023,2022-04,15-03-2023
TOI-561 d,TOI-561,1,1,4,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,1,<a refstr=LACEDELLI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.4551L/abstract target=ref>Lacedelli et al. 2022</a>,25.7124,0.0001,-0.0002,0,0.158,0.002,-0.002,0,2.82,0.07,-0.07,0,0.252,0.006,-0.006,0,13.2,1,-0.9,0,0.04153,0.00315,-0.00283,0,Mass,0.122,0.054,-0.048,0,21.4,1.3,-1.3,0,598,9,-9,0,0,<a refstr=LACEDELLI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.4551L/abstract target=ref>Lacedelli et al. 2022</a>,G9 V,5372,70,-70,0,0.84,0.01,-0.01,0,0.81,0.04,-0.04,0,-0.4,0.05,-0.05,0,[Fe/H],4.5,0.12,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h52m44.44s,148.1851516,+06d12m57.97s,6.216103,85.799,0.4988,-0.4932,10.252,0.006,-0.006,8.394,0.019,-0.019,10.0128,0.000278,-0.000278,15-03-2023,2022-04,15-03-2023
TOI-561 e,TOI-561,1,1,4,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,1,<a refstr=LACEDELLI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.4551L/abstract target=ref>Lacedelli et al. 2022</a>,77.03,0.25,-0.24,0,0.328,0.003,-0.003,0,2.55,0.12,-0.13,0,0.227,0.011,-0.012,0,12.6,1.4,-1.4,0,0.03964,0.0044,-0.0044,0,Mass,0.079,0.058,-0.05,0,4.96,0.28,-0.28,0,415,6,-6,0,0,<a refstr=LACEDELLI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.4551L/abstract target=ref>Lacedelli et al. 2022</a>,G9 V,5372,70,-70,0,0.84,0.01,-0.01,0,0.81,0.04,-0.04,0,-0.4,0.05,-0.05,0,[Fe/H],4.5,0.12,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h52m44.44s,148.1851516,+06d12m57.97s,6.216103,85.799,0.4988,-0.4932,10.252,0.006,-0.006,8.394,0.019,-0.019,10.0128,0.000278,-0.000278,15-03-2023,2022-04,15-03-2023
TOI-564 b,TOI-564,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=DAVIS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..229D/abstract target=ref>Davis et al. 2020</a>,1.651144,0.000018,-0.000018,0,0.02734,0.00061,-0.00053,0,11.433,7.958,-3.251,0,1.02,0.71,-0.29,0,464.98529,31.783,-30.51168,0,1.463,0.1,-0.096,0,Mass,0.072,0.083,-0.05,0,1423,73,-81,0,1714,20,-21,0,0,<a refstr=DAVIS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..229D/abstract target=ref>Davis et al. 2020</a>,,5640,34,-37,0,1.09,0.01,-0.01,0,1,0.07,-0.06,0,0.143,0.076,-0.078,0,[Fe/H],4.36,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h41m10.84s,130.2951535,-16d02m10.78s,-16.0363275,199.581,1.27,-1.253,11.097,0.014,-0.014,9.604,0.022,-0.022,11.1424,0.000599,-0.000599,08-02-2021,2020-11,11-02-2021
TOI-5678 b,TOI-5678,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ULMER_MOLL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230604295U/abstract target=ref>Ulmer-Moll et al. 2023</a>,47.73022,0.00014,-0.00013,0,0.249,0.005,-0.005,0,4.91,0.08,-0.08,0,0.438,0.007,-0.007,0,20,4,-4,0,0.06293,0.01259,-0.01259,0,Mass,0.14,0.07,-0.07,0,,,,,513,8,-7,0,0,<a refstr=ULMER_MOLL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230604295U/abstract target=ref>Ulmer-Moll et al. 2023</a>,G7 V,5485,63,-63,0,0.94,0.01,-0.01,0,0.91,0.04,-0.04,0,0,0.01,-0.01,0,[Fe/H],4.34,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h09m32.20s,47.3841872,-34d11m54.53s,-34.1984808,165.393,0.703,-0.698,11.438,0.012,-0.012,9.563,0.019,-0.019,11.1483,0.000401,-0.000401,12-06-2023,2023-06,12-06-2023
TOI-5704 b,TOI-5704,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230109865M/abstract target=ref>Mistry et al. 2023</a>,3.771116,0.0000115,-0.0000107,0,,,,,3.227,0.187,-0.14,0,0.288,0.017,-0.012,0,,,,,,,,,,,,,,,,,,949,,,0,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230109865M/abstract target=ref>Mistry et al. 2023</a>,,4590,126,-126,0,0.76,0.06,-0.06,0,0.73,0.08,-0.08,0,0.428,0.1,-0.1,0,[Fe/H],4.54,0.1,-0.1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h19m17.97s,169.8248694,+44d59m20.68s,44.9890782,89.637,0.2702,-0.2687,11.529,0.046,-0.046,9.021,0.018,-0.018,11.2746,0.001116,-0.001116,26-05-2023,2023-01,26-05-2023
TOI-5799 b,TOI-5799,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231100688M/abstract target=ref>Mistry et al. 2023</a>,4.164753,0.00038,-0.000427,0,0.0352,0.0011,-0.0011,0,1.625,0.192,-0.128,0,0.145,0.017,-0.011,0,,,,,,,,,,,,,,11.91,1.29,-1.29,0,518,20,-20,0,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231100688M/abstract target=ref>Mistry et al. 2023</a>,,3514,95,-94,0,0.33,0.01,-0.01,0,0.34,0.03,-0.03,0,-0.08,0.25,-0.34,0,[Fe/H],4.93,0.03,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h06m31.24s,301.630179,+15d59m20.91s,15.9891418,27.8123,0.02505,-0.02505,13.29,0.077,-0.077,8.952,0.021,-0.021,12.3212,0.000266,-0.000266,15-04-2024,2023-11,15-04-2024
TOI-5803 b,TOI-5803,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230109865M/abstract target=ref>Mistry et al. 2023</a>,5.38305,0.000207,-0.0002,0,,,,,3.273,0.125,-0.119,0,0.292,0.011,-0.011,0,,,,,,,,,,,,,,,,,,679,,,0,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230109865M/abstract target=ref>Mistry et al. 2023</a>,,5134,121,-121,0,0.76,0.05,-0.05,0,0.87,0.1,-0.1,0,,,,,,4.61,0.09,-0.09,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h48m59.70s,327.2487497,+06d16m41.44s,6.2781777,84.0126,0.4514,-0.4468,10.655,0.011,-0.011,8.684,0.021,-0.021,10.4782,0.000683,-0.000683,26-05-2023,2023-01,26-05-2023
TOI-615 b,TOI-615,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=PSARIDI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A..39P/abstract target=ref>Psaridi et al. 2023</a>,4.6615983,0.0000025,-0.0000016,0,0.0678,0.0031,-0.0026,0,18.977,0.583,-0.639,0,1.693,0.052,-0.057,0,138.25536,27.33324,-26.06193,0,0.435,0.086,-0.082,0,Mass,0.39,,,1,1286,96,-154,0,1666,24,-24,0,0,<a refstr=PSARIDI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A..39P/abstract target=ref>Psaridi et al. 2023</a>,F2 V,6850,100,-100,0,1.73,0.06,-0.06,0,1.45,0.09,-0.09,0,-0.1,0.07,-0.07,0,[Fe/H],4.2,0.2,-0.2,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h53m38.09s,133.4086892,-40d32m37.32s,-40.543701,360.408,3.993,-3.909,10.825,0.008,-0.008,9.669,0.021,-0.021,10.5775,0.000301,-0.000301,26-07-2023,2023-07,26-07-2023
TOI-620 b,TOI-620,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=REEFE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220403108R/abstract target=ref>Reefe et al. 2022</a>,5.0988179,0.0000045,-0.0000046,0,0.04825,0.00065,-0.00066,0,3.76,0.15,-0.15,0,0.335,0.013,-0.013,0,,,,,,,,,,0.22,0.28,-0.12,0,20.8,1.3,-3.5,0,604,6,-5,0,0,<a refstr=REEFE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220403108R/abstract target=ref>Reefe et al. 2022</a>,M2.5 V,3708,57,-56,0,0.55,0.02,-0.02,0,0.58,0.02,-0.02,0,0.35,0.11,-0.12,0,[Fe/H],4.72,0.02,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h28m41.63s,142.1734459,-12d10m01.79s,-12.1671652,33.0231,0.0586,-0.0583,12.262,0.024,-0.024,7.954,0.027,-0.027,11.3104,0.00129,-0.00129,12-04-2022,2022-04,12-04-2022
